county,confirmed_cases,total_tested,negative,deaths,date,lat,lon
Illinois,1535,11485,0,16,2020-03-24,39.839888,-89.51016800000001
Chicago,782,0,0,5,2020-03-24,41.8781,-87.6298
Suburban Cook,0,0,0,0,2020-03-24,0.0,0.0
Adams,1,0,0,0,2020-03-24,40.0578,-91.1353
Alexander,0,0,0,0,2020-03-24,37.167,-89.3606
Bond,0,0,0,0,2020-03-24,38.903,-89.4742
Boone,0,0,0,0,2020-03-24,42.3485,88.8263
Brown,0,0,0,0,2020-03-24,0.0,0.0
Bureau,0,0,0,0,2020-03-24,0.0,0.0
Calhoun,0,0,0,0,2020-03-24,0.0,0.0
Carroll,0,0,0,0,2020-03-24,0.0,0.0
Cass,0,0,0,0,2020-03-24,0.0,0.0
Champaign,2,0,0,0,2020-03-24,0.0,0.0
Christian,1,0,0,0,2020-03-24,0.0,0.0
Clark,0,0,0,0,2020-03-24,0.0,0.0
Clay,0,0,0,0,2020-03-24,0.0,0.0
Clinton,3,0,0,0,2020-03-24,0.0,0.0
Coles,0,0,0,0,2020-03-24,0.0,0.0
Cook,412,0,0,7,2020-03-24,0.0,0.0
Crawford,0,0,0,0,2020-03-24,0.0,0.0
Cumberland,1,0,0,0,2020-03-24,0.0,0.0
DeKalb,1,0,0,0,2020-03-24,0.0,0.0
De Witt,0,0,0,0,2020-03-24,0.0,0.0
Douglas,0,0,0,0,2020-03-24,0.0,0.0
DuPage,103,0,0,1,2020-03-24,41.8244,-88.0901
Edgar,0,0,0,0,2020-03-24,0.0,0.0
Edwards,0,0,0,0,2020-03-24,0.0,0.0
Effingham,0,0,0,0,2020-03-24,0.0,0.0
Fayette,0,0,0,0,2020-03-24,0.0,0.0
Ford,0,0,0,0,2020-03-24,0.0,0.0
Franklin,0,0,0,0,2020-03-24,0.0,0.0
Fulton,0,0,0,0,2020-03-24,0.0,0.0
Gallatin,0,0,0,0,2020-03-24,0.0,0.0
Greene,0,0,0,0,2020-03-24,0.0,0.0
Grundy,1,0,0,0,2020-03-24,0.0,0.0
Hamilton,0,0,0,0,2020-03-24,0.0,0.0
Hancock,0,0,0,0,2020-03-24,0.0,0.0
Hardin,0,0,0,0,2020-03-24,0.0,0.0
Henderson,0,0,0,0,2020-03-24,0.0,0.0
