county,confirmed_cases,total_tested,negative,deaths,lat,lon,date
Illinois,5994,35225,0,99,39.839888,-89.510168,2020-03-31
Chicago,2693,0,0,22,41.8781,-87.6298,2020-03-31
Suburban Cook,0,0,0,0,0.0,0.0,2020-03-31
Adams,2,0,0,0,40.0578,-91.1353,2020-03-31
Alexander,0,0,0,0,37.167,-89.3606,2020-03-31
Bond,2,0,0,0,38.903,-89.4742,2020-03-31
Boone,0,0,0,0,42.3485,88.8263,2020-03-31
Brown,0,0,0,0,0.0,0.0,2020-03-31
Bureau,1,0,0,0,0.0,0.0,2020-03-31
Calhoun,0,0,0,0,0.0,0.0,2020-03-31
Carroll,2,0,0,0,0.0,0.0,2020-03-31
Cass,0,0,0,0,0.0,0.0,2020-03-31
Champaign,26,0,0,0,0.0,0.0,2020-03-31
Christian,13,0,0,0,0.0,0.0,2020-03-31
Clark,1,0,0,0,0.0,0.0,2020-03-31
Clay,0,0,0,0,0.0,0.0,2020-03-31
Clinton,7,0,0,0,0.0,0.0,2020-03-31
Coles,0,0,0,0,0.0,0.0,2020-03-31
Cook,1803,0,0,39,42.050784,-87.963759,2020-03-31
Crawford,1,0,0,0,0.0,0.0,2020-03-31
Cumberland,1,0,0,0,0.0,0.0,2020-03-31
DeKalb,9,0,0,0,0.0,0.0,2020-03-31
De Witt,0,0,0,0,0.0,0.0,2020-03-31
Douglas,3,0,0,0,0.0,0.0,2020-03-31
DuPage,356,0,0,10,41.8244,-88.0901,2020-03-31
Edgar,0,0,0,0,0.0,0.0,2020-03-31
Edwards,0,0,0,0,0.0,0.0,2020-03-31
Effingham,0,0,0,0,0.0,0.0,2020-03-31
Fayette,1,0,0,0,0.0,0.0,2020-03-31
Ford,1,0,0,0,0.0,0.0,2020-03-31
Franklin,1,0,0,0,0.0,0.0,2020-03-31
Fulton,0,0,0,0,0.0,0.0,2020-03-31
Gallatin,0,0,0,0,0.0,0.0,2020-03-31
Greene,0,0,0,0,0.0,0.0,2020-03-31
Grundy,4,0,0,0,0.0,0.0,2020-03-31
Hamilton,0,0,0,0,0.0,0.0,2020-03-31
Hancock,0,0,0,0,0.0,0.0,2020-03-31
Hardin,0,0,0,0,0.0,0.0,2020-03-31
Henderson,0,0,0,0,0.0,0.0,2020-03-31
Henry,2,0,0,0,0.0,0.0,2020-03-31
Iroquois,2,0,0,0,0.0,0.0,2020-03-31
Jackson,4,0,0,0,0.0,0.0,2020-03-31
Jasper,0,0,0,0,0.0,0.0,2020-03-31
Jefferson,0,0,0,0,0.0,0.0,2020-03-31
Jersey,0,0,0,0,0.0,0.0,2020-03-31
Jo Daviess,1,0,0,0,0.0,0.0,2020-03-31
Johnson,0,0,0,0,0.0,0.0,2020-03-31
Kane,128,0,0,7,41.9879,-88.4016,2020-03-31
Kankakee,42,0,0,0,0.0,0.0,2020-03-31
Kendall,19,0,0,2,41.5507,-88.4404,2020-03-31
Knox,1,0,0,0,0.0,0.0,2020-03-31
Lake,389,0,0,2,42.3689,-87.8272,2020-03-31
LaSalle,5,0,0,1,41.4364,-88.9414,2020-03-31
Lawrence,0,0,0,0,0.0,0.0,2020-03-31
Lee,0,0,0,0,0.0,0.0,2020-03-31
Livingston,3,0,0,0,0.0,0.0,2020-03-31
Logan,0,0,0,0,0.0,0.0,2020-03-31
McDonough,0,0,0,0,0.0,0.0,2020-03-31
McHenry,63,0,0,2,42.304,-88.4016,2020-03-31
McLean,19,0,0,2,40.5478,-88.8647,2020-03-31
Macon,2,0,0,0,0.0,0.0,2020-03-31
Macoupin,0,0,0,0,0.0,0.0,2020-03-31
Madison,16,0,0,0,0.0,0.0,2020-03-31
Marion,2,0,0,0,0.0,0.0,2020-03-31
Marshall,1,0,0,0,0.0,0.0,2020-03-31
Mason,0,0,0,0,0.0,0.0,2020-03-31
Massac,0,0,0,0,0.0,0.0,2020-03-31
Menard,1,0,0,0,0.0,0.0,2020-03-31
Mercer,0,0,0,0,0.0,0.0,2020-03-31
Monroe,3,0,0,0,0.0,0.0,2020-03-31
Montgomery,2,0,0,0,0.0,0.0,2020-03-31
Morgan,4,0,0,1,39.7341,-90.2245,2020-03-31
Moultrie,0,0,0,0,0.0,0.0,2020-03-31
Ogle,1,0,0,0,0.0,0.0,2020-03-31
Peoria,8,0,0,0,0.0,0.0,2020-03-31
Perry,0,0,0,0,0.0,0.0,2020-03-31
Piatt,0,0,0,0,0.0,0.0,2020-03-31
Pike,0,0,0,0,0.0,0.0,2020-03-31
Pope,0,0,0,0,0.0,0.0,2020-03-31
Pulaski,0,0,0,0,0.0,0.0,2020-03-31
Putnam,0,0,0,0,0.0,0.0,2020-03-31
Randolph,3,0,0,0,0.0,0.0,2020-03-31
Richland,0,0,0,0,0.0,0.0,2020-03-31
Rock Island,11,0,0,0,0.0,0.0,2020-03-31
St. Clair,43,0,0,2,38.4008,-89.9253,2020-03-31
Saline,1,0,0,0,0.0,0.0,2020-03-31
Sangamon,14,0,0,1,39.7337,-89.6252,2020-03-31
Schuyler,0,0,0,0,0.0,0.0,2020-03-31
Scott,0,0,0,0,0.0,0.0,2020-03-31
Shelby,0,0,0,0,0.0,0.0,2020-03-31
Stark,0,0,0,0,0.0,0.0,2020-03-31
Stephenson,3,0,0,0,0.0,0.0,2020-03-31
Tazewell,4,0,0,0,0.0,0.0,2020-03-31
Union,0,0,0,0,0.0,0.0,2020-03-31
Vermilion,0,0,0,0,0.0,0.0,2020-03-31
Wabash,0,0,0,0,0.0,0.0,2020-03-31
Warren,0,0,0,0,0.0,0.0,2020-03-31
Washington,1,0,0,0,0.0,0.0,2020-03-31
Wayne,0,0,0,0,0.0,0.0,2020-03-31
White,0,0,0,0,0.0,0.0,2020-03-31
Whiteside,5,0,0,0,0.0,0.0,2020-03-31
Will,228,0,0,8,41.5055,-88.0901,2020-03-31
Williamson,1,0,0,0,0.0,0.0,2020-03-31
Winnebago,15,0,0,0,0.0,0.0,2020-03-31
Woodford,3,0,0,0,0.0,0.0,2020-03-31
