State/County,Race,Age Group,Sex,2000,2005,2010,2015,2020,2025,2030
Adams,All,All,Both Sexes,68390,69656,70212,73370,76273,77159,78397
Adams,All,Total Male,M,32899,33480,33723,35225,36581,36966,37461
Adams,All,Total Female,F,35491,36176,36489,38145,39692,40193,40936
Adams,All,0-4,M,2141,2294,2446,2736,2931,2943,2970
Adams,All,0-4,F,2067,2215,2369,2652,2837,2852,2876
Adams,All,5-9,M,2406,2356,2421,2707,2943,3016,3073
Adams,All,5-9,F,2319,2271,2336,2619,2855,2928,2987
Adams,All,10-14,M,2505,2371,2292,2397,2648,2831,2889
Adams,All,10-14,F,2521,2391,2327,2428,2721,2922,3007
Adams,All,15-19,M,2562,2553,2356,2384,2452,2630,2851
Adams,All,15-19,F,2558,2547,2362,2391,2460,2633,2846
Adams,All,20-24,M,2011,2467,2397,2320,2309,2239,2459
Adams,All,20-24,F,1934,2382,2285,2224,2197,2156,2361
Adams,All,25-29,M,1911,1952,2379,2377,2271,2139,2058
Adams,All,25-29,F,1916,1958,2387,2374,2271,2147,2076
Adams,All,30-34,M,2046,1786,1804,2260,2249,2101,1972
Adams,All,30-34,F,2113,1850,1867,2342,2333,2183,2057
Adams,All,35-39,M,2430,2100,1816,1899,2339,2287,2144
Adams,All,35-39,F,2566,2205,1918,1988,2442,2360,2218
Adams,All,40-44,M,2523,2536,2164,1948,1999,2370,2313
Adams,All,40-44,F,2525,2562,2184,1978,2043,2428,2392
Adams,All,45-49,M,2321,2478,2498,2154,1948,1985,2350
Adams,All,45-49,F,2370,2524,2541,2183,1963,1994,2362
Adams,All,50-54,M,2053,2244,2378,2437,2096,1850,1879
Adams,All,50-54,F,2167,2375,2514,2580,2216,1959,2008
Adams,All,55-59,M,1627,1912,2091,2244,2305,1957,1718
Adams,All,55-59,F,1834,2154,2359,2528,2595,2202,1929
Adams,All,60-64,M,1399,1571,1848,2047,2198,2230,1878
Adams,All,60-64,F,1519,1711,2019,2225,2400,2461,2064
Adams,All,65-69,M,1220,1231,1380,1655,1830,1942,1976
Adams,All,65-69,F,1484,1499,1684,2017,2234,2368,2419
Adams,All,70-74,M,1308,1168,1158,1339,1583,1709,1830
Adams,All,70-74,F,1596,1427,1418,1640,1939,2103,2252
Adams,All,75-79,M,1137,1032,917,939,1091,1283,1409
Adams,All,75-79,F,1497,1352,1204,1215,1422,1673,1828
Adams,All,80-84,M,756,822,728,696,700,788,958
Adams,All,80-84,F,1129,1225,1088,1039,1041,1172,1433
Adams,All,85+,M,543,607,650,686,689,666,734
Adams,All,85+,F,1376,1528,1627,1722,1723,1652,1821
Adams,Asian,All,Both Sexes,272,453,589,827,1060,1215,1392
Adams,Asian,Asian Male,M,119,196,266,374,485,553,617
Adams,Asian,Asian Female,F,153,257,323,453,575,662,775
Adams,Asian,0-4,M,6,11,17,27,48,59,67
Adams,Asian,0-4,F,4,7,12,19,31,41,45
Adams,Asian,5-9,M,11,24,22,38,43,52,66
Adams,Asian,5-9,F,11,25,23,39,44,52,67
Adams,Asian,10-14,M,7,6,15,14,26,28,34
Adams,Asian,10-14,F,13,12,28,27,47,51,62
Adams,Other,75-79,M,0,7,5,12,11,17,20
Adams,Asian,15-19,M,10,38,28,55,50,53,63
